Cytogenetic map position,Genetic map position,Sequence coordinates (release 6),R6 conversion notes
1A,1-[0],X:103614..408582,includes 105 area(s) of non-identity
1B,1-[0],X:408583..660483,
1C,1-[0],X:660484..831096,
1D,1-[0],X:831097..991047,
1E,1-[0.1],X:991048..1254809,
1F,1-[0.1],X:1254810..1368552,
2A,1-[0.2],X:1368553..1475668,
2B,1-[0.2],X:1475669..1972106,
2C,1-[0.5],X:1972107..2083108,
2D,1-[0.6],X:2083109..2173102,
2E,1-[0.8],X:2173103..2223441,
2F,1-[0.9],X:2223442..2328357,
3A,1-[1],X:2328358..2666234,
3B,1-[1.5],X:2666235..2804155,
3C,1-[2],X:2804156..3312265,
3D,1-[3],X:3312266..3614212,
3E,1-[4],X:3614213..3765077,
3F,1-[5],X:3765078..3955446,
4A,1-[6],X:3955447..4115668,
4B,1-[7],X:4115669..4333243,
4C,1-[8],X:4333244..4749023,
4D,1-[9],X:4749024..4964039,includes 1 area of non-identity
4E,1-[10],X:4964040..5107106,
4F,1-[11],X:5107107..5475816,
5A,1-[12],X:5475817..5697152,
5B,1-[13],X:5697153..5766002,
5C,1-[14],X:5766003..5955320,
5D,1-[15],X:5955321..6198961,
5E,1-[16],X:6198962..6315088,
5F,1-[16],X:6315089..6400665,
6A,1-[17],X:6400666..6516900,
6B,1-[17],X:6516901..6585390,
6C,1-[18],X:6585391..6779510,
6D,1-[18],X:6779511..6863445,
6E,1-[18],X:6863446..7033898,
6F,1-[19],X:7033899..7150636,
7A,1-[20],X:7150637..7286017,
7B,1-[20],X:7286018..7801642,
7C,1-[21],X:7801643..7947829,
7D,1-[22],X:7947830..8246254,
7E,1-[23],X:8246255..8465638,
7F,1-[23],X:8465639..8649406,
8A,1-[24],X:8649407..8768350,
8B,1-[25],X:8768351..8933649,
8C,1-[26],X:8933650..9194655,
8D,1-[27],X:9194656..9412383,
8E,1-[28],X:9412384..9600460,
8F,1-[29],X:9600461..9709556,
9A,1-[30],X:9709557..10055610,
9B,1-[31],X:10055611..10401341,
9C,1-[31],X:10401342..10466208,
9D,1-[32],X:10466209..10645358,
9E,1-[32],X:10645359..10781790,
9F,1-[33],X:10781791..10976635,
10A,1-[33],X:10976636..11198803,
10B,1-[34],X:11198804..11489173,
10C,1-[35],X:11489174..11607195,
10D,1-[35],X:11607196..11728873,
10E,1-[36],X:11728874..11829938,
10F,1-[37],X:11829939..11982049,
11A,1-[38],X:11982050..12525916,
11B,1-[39],X:12525917..12772075,
11C,1-[40],X:12772076..12836466,
11D,1-[41],X:12836467..13113649,
11E,1-[42],X:13113650..13346259,
11F,1-[43],X:13346260..13461045,
12A,1-[44],X:13461046..13646537,
12B,1-[45],X:13646538..13757665,
12C,1-[46],X:13757666..13903438,
12D,1-[47],X:13903439..14080987,
12E,1-[48],X:14080988..14510750,
12F,1-[49],X:14510751..14873201,
13A,1-[49],X:14873202..15131121,
13B,1-[50],X:15131122..15372314,
13C,1-[50],X:15372315..15522834,
13D,1-[50],X:15522835..15592098,
13E,1-[51],X:15592099..15795006,
13F,1-[52],X:15795007..15907608,
14A,1-[52],X:15907609..16113516,
14B,1-[53],X:16113517..16363596,
14C,1-[53],X:16363597..16456349,
14D,1-[54],X:16456350..16520529,
14E,1-[54],X:16520530..16574703,
14F,1-[54],X:16574704..16667591,
15A,1-[55],X:16667592..16838945,
15B,1-[56],X:16838946..16900779,
15C,1-[56],X:16900780..16969023,
15D,1-[56],X:16969024..17066541,
15E,1-[57],X:17066542..17157124,
15F,1-[57],X:17157125..17293689,
16A,1-[57],X:17293690..17472087,
16B,1-[57],X:17472088..17678210,
16C,1-[58],X:17678211..17776521,
16D,1-[58],X:17776522..17841787,
16E,1-[59],X:17841788..17883261,
16F,1-[59],X:17883262..18168379,
17A,1-[60],X:18168380..18419763,
17B,1-[60],X:18419764..18502714,
17C,1-[60],X:18502715..18653462,
17D,1-[60],X:18653463..18803707,
17E,1-[61],X:18803708..18858040,
17F,1-[61],X:18858041..18936074,
18A,1-[62],X:18936075..19200032,
18B,1-[62],X:19200033..19295064,
18C,1-[62],X:19295065..19555536,
18D,1-[63],X:19555537..19676126,
18E,1-[64],X:19676127..19747669,
18F,1-[64],X:19747670..19887081,
19A,1-[64],X:19887082..20068757,
19B,1-[64],X:20068758..20160523,
19C,1-[64],X:20160524..20413490,includes 24 area(s) of non-identity
19D,1-[64],X:20413491..20604985,
19E,1-[65],X:20604986..21086629,
19F,1-[65],X:21086630..21377455,
20A,1-[66],X:21377456..21675680,
20B,1-[66],X:21675681..22371346,includes 16 area(s) of non-identity
20C,1-[66],X:22371347..22597814,includes 6 area(s) of non-identity
20D,1-[66],X:22597815..22716656,
20E,1-[66],X:22716657..22835497,
20F,1-[66],,in area of non-identity
21A,2-[0],,failed to convert
21B,2-[0.5],2L:22222..324485,
21C,2-[0.7],2L:324486..464653,
21D,2-[1],2L:464654..518418,
21E,2-[1.5],2L:518419..1086654,
21F,2-[2],2L:1086655..1326937,
22A,2-[3],2L:1326938..1698637,
