ox_code	src_code	sra_sample_accession	country	region	contributor	contact	year	m_s	sex	mean_coverage	latitude	longitude	kt_2la	kt_2rb	kdr_1014	rdl_296	pca_3R_free_pc1	pca_3R_free_pc2	pca_3R_free_pc3	pca_3R_free_pc4	pca_3L_free_pc1	pca_3L_free_pc2	pca_3L_free_pc3	pca_3L_free_pc4	pca_2La_pc1	pca_2La_pc2	pca_2La_pc3	pca_2La_pc4	pca_2Rb_pc1	pca_2Rb_pc2	pca_2Rb_pc3	pca_2Rb_pc4	StoredSelection
AN0007-C	CM0901778	ERS224381	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	30.44	4.341	13.558	0	0	F/S	+/+	21.8387942735	-18.2147164967	6.5860062838	24.4341170843	19.3010437189	10.9720172592	-4.39792692286	-18.4596077158	49.7197898272	-3.54656804788	-22.1107209556	-1.91778881956	8.17923948629	-30.024991947	6.36522805205	-1.26533025976	0
AN0008-C	CM0901779	ERS224561	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	23.89	4.341	13.558	0	1	+/F	+/+	20.2663673736	-16.1191519787	6.11673200665	25.1867259377	17.02662855	13.0050895588	-5.16963757837	-23.0850029775	51.1037541271	-2.93070521211	-23.1866479093	-2.77167336896	-22.3328934373	-3.10667026502	19.8341905465	8.42002259185	0
AN0009-C	CM0901780	ERS224573	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	44.04	4.341	13.558	1	1	+/F	G/G	22.1996027372	-18.2974936558	5.87498446412	22.7778740173	20.0109998306	12.0279950978	-7.30973449589	-20.7940302612	1.91353682118	15.7170539322	-15.3376635509	-3.18338310129	-18.5370197537	1.6693001359	11.3970165229	3.32486635617	0
AN0010-C	CM0901782	ERS224462	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	23.54	4.341	13.558	0	0	F/F	+/G	17.9192513036	-19.849073318	8.86395016731	42.286647548	10.8687783514	10.5175481626	-1.14229649874	-30.1848311725	52.0055066897	-4.19869970497	-23.6636676143	-1.42508435541	6.24202432673	-27.97040356	5.24357456442	-0.6427515805	0
AN0011-C	CM0901783	ERS224416	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	29.71	4.341	13.558	0	1	+/F	+/+	24.5508079306	-19.3340035328	11.7895331119	27.0068323369	18.6773162167	13.1803878343	-0.230655465474	-18.7279833831	53.6345158465	-3.87878438637	-21.9292932367	-1.08623450533	-21.4451871797	-1.86948665723	19.0996829246	8.55066169513	0
AN0012-C	CM0901784	ERS224467	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	37.73	4.341	13.558	0	0	+/F	+/+	21.9022016784	-17.7069892088	8.7302546318	20.595116605	16.0583387448	13.6595625577	7.39105712407	-16.3529693486	49.6946295863	-3.4038668023	-21.871893601	-1.94706065888	5.66958592807	-31.3940328651	5.95129868895	-0.967428459614	0
AN0014-C	CM0901786	ERS224566	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	40.56	4.341	13.558	0	0	+/F	+/+	22.3267022114	-15.8852846411	9.78376581535	17.2106170736	21.6663477756	13.2884334307	-6.53465614239	-22.4563786992	55.1153767427	-3.56713223318	-26.3164797671	-2.1531904375	8.37870344936	-32.6584162703	5.02079896322	0.0643701774268	0
AN0016-C	CM0901789	ERS224495	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	20.99	4.341	13.558	1	1	+/F	+/+	24.3671527428	-20.6213112506	14.7314414453	32.7530082183	18.2072419793	12.4072400297	1.82134223642	-14.8300411338	-0.262426105759	13.3378112808	-14.3507762116	-2.74593540029	-16.494542685	-1.4044758642	12.7876465169	5.68070714533	0
AN0017-C	CM0901790	ERS224637	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	34.13	4.341	13.558	1	2	F/F	+/G	24.8292785363	-21.2198684299	13.4078497438	23.791894867	19.2503096863	12.2581979766	-8.71903648002	-17.0839646582	2.43471333214	15.9044585935	-17.8965375724	-3.24294762656	-41.2892437029	34.6249058676	19.6560371173	7.5447301331	0
AN0018-C	CM0901791	ERS224620	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	24.82	4.341	13.558	0	0	F/F	+/G	21.1300980245	-19.2546770279	5.62667373607	23.1820046356	20.2473874136	14.8846218068	1.68575842622	-17.788935897	49.4094547583	-5.00120626495	-21.0717566107	-1.97543170554	6.28302175513	-32.5416900328	5.42042138765	-0.282836430214	0
AN0019-C	CM0901792	ERS224403	Cameroon	Mayos	Nora Besansky	Reidenbach	2009.0	S	F	25.4	4.341	13.558	0	0	F/F	+/G	19.1936171559	-17.2080338427	9.77774871125	25.3387309484	18.011841542	13.6197709022	-0.260371972096	-20.8632119983	50.4662040014	-3.53994080515	-23.5087704591	0.462227202427	5.57165746395	-30.6049000651	5.70263166474	-3.95149347168	0
