Location,Village,Coll. date,taxon,#,Specimen ID,MS ID,sex,2La (PCR),2Rb (PCR),2La (cyto),2Rb (cyto),notes,,Scor. date,Taxon,2Rj,2Rb,2Rc,2Rd,2Ru,2La,Karyotype
Savanna,ZEMBE-BORONGO,10/20/2009,gambiae s.l.,1,CM0901968,S,F,0,0,0,0,,,11/5/2009,A?,0,0,0,0,0,0,000000
Savanna,ZEMBE-BORONGO,10/20/2009,gambiae s.l.,1,CM0901969,S,F,1,1,1,1,,,11/5/2009,A,0,1,0,0,0,1,010001
Savanna,ZEMBE-BORONGO,10/20/2009,gambiae s.l.,1,CM0901970,S,F,1,2,1,2,,,11/5/2009,A,0,2,0,0,1,1,020011
Savanna,ZEMBE-BORONGO,10/20/2009,gambiae s.l.,1,CM0901971,S,F,2,1,0,1,,,11/5/2009,A,0,1,0,0,0,0,010000
Savanna,ZEMBE-BORONGO,10/20/2009,gambiae s.l.,1,CM0901973,S,F,0,0,0,0,,,11/5/2009,A,0,0,0,0,0,0,000000
Savanna,ZEMBE-BORONGO,10/20/2009,gambiae s.l.,1,CM0901974,S,F,1,2,1,2,,,11/5/2009,A,0,2,0,0,0,1,020001
Savanna,ZEMBE-BORONGO,10/20/2009,gambiae s.l.,1,CM0901975,S,F,1,2,1,2,,,11/5/2009,A,0,2,1,0,1,1,021011
Savanna,ZEMBE-BORONGO,10/20/2009,gambiae s.l.,1,CM0902002,S,F,2,1,2,1,,,11/5/2009,A?,0,1,0,0,0,2,010002
Savanna,ZEMBE-BORONGO,10/20/2009,gambiae s.l.,1,CM0902007,S,F,0,2,0,2,,,11/5/2009,A?,0,2,1,0,1,0,021010
Savanna,ZEMBE-BORONGO,10/21/2009,gambiae s.l.,1,CM0902023,S,F,2,2,2,2,,,11/5/2009,A,0,2,1,1,1,2,021112
Savanna,ZEMBE-BORONGO,10/21/2009,gambiae s.l.,1,CM0902024,S,F,0,1,0,1,,,11/5/2009,A,0,1,0,0,0,0,010000
Savanna,ZEMBE-BORONGO,10/21/2009,gambiae s.l.,1,CM0902025,S,F,2,2,2,2,,,11/5/2009,A?,0,2,0,0,0,2,020002
Savanna,ZEMBE-BORONGO,10/21/2009,gambiae s.l.,1,CM0902028,S,F,2,1,1,1,,,11/6/2009,A,0,1,0,0,0,1,010001
Savanna,ZEMBE-BORONGO,10/21/2009,gambiae s.l.,1,CM0902029,S,F,0,1,0,1,,,11/6/2009,A,0,1,0,0,0,0,010000
Savanna,ZEMBE-BORONGO,10/21/2009,gambiae s.l.,1,CM0902030,S,F,1,1,1,1,,,11/6/2009,A,0,1,0,0,0,1,010001
Savanna,ZEMBE-BORONGO,10/21/2009,gambiae s.l.,1,CM0902031,S,F,0,1,0,1,,,11/6/2009,A,0,1,0,0,0,0,010000
Savanna,ZEMBE-BORONGO,10/21/2009,gambiae s.l.,1,CM0902072,S,F,1,1,2,1,,,11/6/2009,A,0,1,0,0,0,2,010002
